order_id,customer_id,ordered_at,net_sales
O1129,C06007,2026-06-08,2300
O1130,C06008,2026-06-09,2550
O1131,C06008,2026-07-05,1200
O1132,C06009,2026-06-10,2800
O1133,C06010,2026-06-11,1800
O1134,C06011,2026-06-12,2050
O1135,C06012,2026-06-13,2300
O1136,C06012,2026-08-10,1200
O1137,C06013,2026-06-14,2550
O1138,C06014,2026-06-15,2800
O1139,C06015,2026-06-16,1800
O1140,C06016,2026-06-17,2050
O1141,C06016,2026-07-21,1200
O1142,C06017,2026-06-18,2300
O1143,C07000,2026-07-01,1800
O1144,C07000,2026-07-19,1200
O1145,C07001,2026-07-02,2050
O1146,C07002,2026-07-03,2300
O1147,C07003,2026-07-04,2550
O1148,C07004,2026-07-05,2800
O1149,C07004,2026-08-24,1200
O1150,C07005,2026-07-06,1800
O1151,C07006,2026-07-07,2050
O1152,C07007,2026-07-08,2300
O1153,C07008,2026-07-09,2550
O1154,C07008,2026-08-04,1200
O1155,C07009,2026-07-10,2800
O1156,C07010,2026-07-11,1800
O1157,C07011,2026-07-12,2050
O1158,C07012,2026-07-13,2300
O1159,C07012,2026-09-09,1200
O1160,C07013,2026-07-14,2550
O1161,C07014,2026-07-15,2800
O1162,C07015,2026-07-16,1800
O1163,C07016,2026-07-17,2050
O1164,C07016,2026-08-20,1200
O1165,C07017,2026-07-18,2300
O1166,C08000,2026-08-01,1800
O1167,C08000,2026-08-19,1200
O1168,C08001,2026-08-02,2050
O1169,C08002,2026-08-03,2300
O1170,C08003,2026-08-04,2550
O1171,C08004,2026-08-05,2800
O1172,C08004,2026-09-24,1200
O1173,C08005,2026-08-06,1800
O1174,C08006,2026-08-07,2050
O1175,C08007,2026-08-08,2300
O1176,C08008,2026-08-09,2550
O1177,C08008,2026-09-04,1200
O1178,C08009,2026-08-10,2800
O1179,C08010,2026-08-11,1800
O1180,C08011,2026-08-12,2050
O1181,C08012,2026-08-13,2300
O1182,C08012,2026-10-10,1200
O1183,C08013,2026-08-14,2550
O1184,C08014,2026-08-15,2800
O1185,C08015,2026-08-16,1800
O1186,C08016,2026-08-17,2050
O1187,C08016,2026-09-20,1200
O1188,C08017,2026-08-18,2300
